"","state","year","month","tavg","tmax","tmin","pcp"
"10515","IN",2008,5,67.6,79.8,55.3,3.8
"10516","IN",2008,6,53.7,65.9,41.6,2.2
"10517","IN",2008,7,40.5,49.7,31.3,2.1
"10518","IN",2008,8,29.1,38.4,19.8,5
"10519","IN",2008,9,27.7,36.7,18.6,3.2
"10520","IN",2009,1,62,73.2,50.8,5.6
"10521","IN",2009,10,32.2,41.9,22.4,2.8
"10522","IN",2009,11,44.2,55.4,33,3.2
"10523","IN",2009,12,51.5,62.2,40.8,5.7
"10524","IN",2009,2,71.6,82,61.2,4.6
"10525","IN",2009,3,69.2,79,59.4,4.4
"10526","IN",2009,4,70.7,81.1,60.2,3.7
"10527","IN",2009,5,65.5,76,55,2.8
"10528","IN",2009,6,50.5,59.5,41.4,6.6
"10529","IN",2009,7,46.3,56,36.7,1.4
"10530","IN",2009,8,30.4,37.3,23.4,3.1
"10531","IN",2009,9,21.4,29.7,13,1.6
"10532","IN",2010,1,64.3,74.8,53.8,5.4
"10533","IN",2010,10,25.7,33,18.5,1.4
"10534","IN",2010,11,43.6,54,33.2,3.1
"10535","IN",2010,12,57.3,70.2,44.5,3.1
"10536","IN",2010,2,74.1,84.3,63.9,7.6
"10537","IN",2010,3,76.4,86.9,65.9,4.1
"10538","IN",2010,4,75.6,87.2,64.1,1.8
"10539","IN",2010,5,67.2,80.5,54,1.3
"10540","IN",2010,6,56,70,41.9,1.1
"10541","IN",2010,7,42.8,54.6,31,5
"10542","IN",2010,8,24.3,31.4,17.2,1.4
"10543","IN",2010,9,23.9,30.4,17.5,1.5
"10544","IN",2011,1,62.1,72.2,52,6.5
"10545","IN",2011,10,31.2,39.5,22.9,4.2
"10546","IN",2011,11,41.7,50.8,32.5,3.4
"10547","IN",2011,12,53,63.8,42.2,9.6
"10548","IN",2011,2,72.2,82.7,61.7,5.2
"10549","IN",2011,3,78.8,89.6,68,2.7
"10550","IN",2011,4,73.1,85,61.2,2.5
"10551","IN",2011,5,63.6,73.6,53.7,5.3
"10552","IN",2011,6,53.9,66.1,41.7,3.2
"10553","IN",2011,7,46.9,55.7,38.1,6.2
"10554","IN",2011,8,36.6,44.1,29.1,4.5
"10555","IN",2011,9,23.7,31,16.4,1.5
"10556","IN",2012,1,67.7,80.4,55,2.7
"10557","IN",2012,10,35.4,43.9,26.9,1.5
"10558","IN",2012,11,55,66.7,43.3,2.7
"10559","IN",2012,12,52.9,65.3,40.5,2.2
"10560","IN",2012,2,71.6,85,58.2,1.2
"10561","IN",2012,3,80.2,92.8,67.6,2.5
"10562","IN",2012,4,71.9,84.8,59,4
"10563","IN",2012,5,64.2,75.5,52.8,5.1
"10564","IN",2012,6,52.1,62.3,42,3.9
"10565","IN",2012,7,40,50.8,29.2,0.9
"10566","IN",2012,8,38.2,45.3,31,3.2
"10567","IN",2012,9,32.4,41.1,23.7,3.4
"10568","IN",2013,1,64.4,75.4,53.4,3.7
"10569","IN",2013,10,30.2,38.1,22.4,2.2
"10570","IN",2013,11,34.8,42.8,26.8,2.3
"10571","IN",2013,12,50.8,62,39.4,6.3
"10572","IN",2013,2,70.8,81,60.5,6.2
"10573","IN",2013,3,72.3,82,62.6,3.2
"10574","IN",2013,4,71.5,82.6,60.4,1.8
"10575","IN",2013,5,66.9,79.3,54.5,2.9
"10576","IN",2013,6,54.3,65.3,43.3,4.1
"10577","IN",2013,7,39.2,48.4,30.1,3
"10578","IN",2013,8,29.4,37.6,21.1,4.3
"10579","IN",2013,9,29.9,38.6,21.3,4.7
"10580","IN",2014,1,62.9,74.1,51.7,4.2
"10581","IN",2014,10,22,31.2,12.8,2.6
"10582","IN",2014,11,34.1,45.3,23,1.8
"10583","IN",2014,12,52.4,64.4,40.4,5.7
"10584","IN",2014,2,72.6,82.6,62.5,5.6
"10585","IN",2014,3,69.1,80.1,58.2,3.3
"10586","IN",2014,4,72.4,82.4,62.4,4.9
"10587","IN",2014,5,64,75.8,52.2,3.4
"10588","IN",2014,6,53.8,64.1,43.6,4.1
"10589","IN",2014,7,35.6,44.2,26.9,2.6
"10590","IN",2014,8,34.6,40.6,28.5,2.5
"10591","IN",2014,9,19.4,29.1,9.6,2.3
"10592","IN",2015,1,65,76.3,53.6,3.9
"10593","IN",2015,10,19.3,29.1,9.4,1.4
"10594","IN",2015,11,37.2,47.4,27,3.5
"10595","IN",2015,12,52.9,64.6,41.1,4.7
"10596","IN",2015,2,71,80.3,61.6,9
"10597","IN",2015,3,72.9,82.7,63.1,6.2
"10598","IN",2015,4,70.6,81.6,59.6,2.5
"10599","IN",2015,5,68.8,81,56.6,2.3
"10600","IN",2005,5,69.2,81.4,56.9,4.1
"10601","IN",2005,6,55.2,65.8,44.7,1.2
"10602","IN",2005,7,44.6,55.2,33.9,3.9
"10603","IN",2005,8,26.7,33.5,20,2.1
"10604","IN",2005,9,29.9,37.3,22.6,7.1
"10605","IN",2006,1,60.1,70.7,49.4,5.2
"10606","IN",2006,10,31.7,41,22.4,1.6
"10607","IN",2006,11,40.7,50.1,31.2,5.1
"10608","IN",2006,12,55.7,68.2,43.2,4.2
"10609","IN",2006,2,69.8,80.9,58.7,4.2
"10610","IN",2006,3,75.4,85.4,65.3,4.8
"10611","IN",2006,4,73.6,83.7,63.6,4.7
"10612","IN",2006,5,62.5,72.7,52.2,4.5
"10613","IN",2006,6,51.1,61.5,40.6,5
"10614","IN",2006,7,44.1,52.9,35.3,3.2
"10615","IN",2006,8,37.3,45.8,28.7,4.8
"10616","IN",2006,9,39.1,46.8,31.3,3.2
"10617","IN",2007,1,66.2,79.2,53.3,1.7
"10618","IN",2007,10,20.2,28.7,11.7,2.4
"10619","IN",2007,11,47,57.8,36.1,3.5
"10620","IN",2007,12,49.4,60.5,38.4,4.1
"10621","IN",2007,2,72.1,84,60.2,3.2
"10622","IN",2007,3,71.9,83.5,60.2,3.1
"10623","IN",2007,4,76.9,88.6,65.1,4.5
"10624","IN",2007,5,69,82.2,55.8,2.5
"10625","IN",2007,6,60.2,71.3,49.1,3.8
"10626","IN",2007,7,41.9,51.6,32.2,2.7
"10627","IN",2007,8,32.6,39.4,25.7,5
"10628","IN",2007,9,32.2,39.2,25.2,4.7
"10629","IN",2008,1,58.1,69.2,46.9,5.6
"10630","IN",2018,12,45,56.1,33.9,3.5
"10631","IN",2015,9,25.3,33.5,17.1,2.1
"10632","IN",2016,1,60.6,71.5,49.7,3.5
"10633","IN",2016,10,33.9,42.7,25.1,2.7
"10634","IN",2016,11,47.3,57.1,37.5,4.4
"10635","IN",2016,12,52,64,40.1,4.1
"10636","IN",2016,2,72.9,84.4,61.3,4.2
"10637","IN",2016,3,74.6,84.5,64.8,5.1
"10638","IN",2016,4,75.7,85,66.4,6.4
"10639","IN",2016,5,69.9,81.2,58.6,3.6
"10640","IN",2016,6,59.5,70.4,48.6,2.6
"10641","IN",2015,6,55.6,66.9,44.4,2.4
"10642","IN",2015,7,46.6,57,36.2,3.5
"10643","IN",2015,8,42.5,49.8,35.2,5.4
"10644","IN",2017,1,60.9,71.5,50.3,6.9
"10645","IN",2017,10,41.3,51.7,31,1.3
"10646","IN",2017,11,42.7,52.1,33.3,4
"10647","IN",2017,12,57,68.4,45.6,4.8
"10648","IN",2017,2,71.1,82.9,59.3,4.3
"10649","IN",2017,3,74.2,84.5,63.9,6
"10650","IN",2017,4,70,81.1,58.9,2.2
"10651","IN",2017,5,67.2,79.2,55.1,2
"10652","IN",2017,6,57.6,67.6,47.7,4.2
"10653","IN",2017,7,42.4,51.9,32.8,4.4
"10654","IN",2016,7,47,57.7,36.4,2.5
"10655","IN",2016,8,29.8,37.2,22.4,2.3
"10656","IN",2016,9,27.5,35.7,19.3,1.3
"10657","IN",2018,11,38.3,47.5,29.1,3.8
"10658","IN",2017,8,29.6,38.1,21.1,1.3
"10659","IN",2017,9,33.9,41.3,26.4,3.6
"10660","IN",2018,10,35,44.5,25.6,5.8
"10661","IA",1950,2,21.1,31.2,11,1.5
"10662","IA",1950,6,67.7,79.4,56,5.7
"10663","IA",1950,3,29.6,39.2,20,1
"10664","IA",1950,4,41.5,52.6,30.4,2.7
"10665","IA",1950,5,59,70.7,47.2,4.8
"10666","IA",1951,1,16,25.7,6.3,0.6
"10667","IA",1950,7,69,80.7,57.3,4.4
"10668","IA",1950,8,66.8,78,55.5,2.4
"10669","IA",1950,9,62,74.4,49.5,2
"10670","IA",1950,12,16.9,26.4,7.5,0.7
"10671","IA",1953,5,59.1,70.6,47.6,2.3
"10672","IA",1953,6,72.3,84.1,60.6,5.2
"10673","IA",1953,7,73.8,85.6,62.1,3.3
"10674","IA",1953,8,72.2,85,59.3,2.3
"10675","IA",1953,9,63.7,79,48.3,0.9
"10676","IA",1954,1,17.1,28.5,5.7,0.2
"10677","IA",1954,10,50.3,60.3,40.3,4.1
"10678","IA",1954,11,39.7,50.5,28.9,0.2
"10679","IA",1954,12,26.2,33.9,18.4,0.7
"10680","IA",1954,2,35.6,46.3,24.8,1.4
"10681","IA",1951,10,50.6,61.2,40,3.2
"10682","IA",1951,11,29.2,39.3,19.1,1.2
"10683","IA",1951,12,18.6,27.5,9.6,0.9
"10684","IA",1951,2,22.8,32.5,13.2,2.4
"10685","IA",1951,3,26.1,35.2,17.1,4.1
"10686","IA",1951,4,43.3,52.6,34,4.8
"10687","IA",1951,5,61.4,73,49.8,4.9
"10688","IA",1951,6,64.4,74.4,54.5,6.1
"10689","IA",1951,7,71.3,82.1,60.6,4.5
"10690","IA",1951,8,69.4,80.1,58.8,6.1
"10691","IA",1951,9,58.7,69.8,47.6,2.4
"10692","IA",1952,1,18.6,28.8,8.5,1.3
"10693","IA",1952,10,46.1,61.8,30.3,0
"10694","IA",1952,11,36.7,48.2,25.1,2.7
"10695","IA",1952,12,24.4,31.4,17.5,1.1
"10696","IA",1952,2,29.8,37.6,22.1,0.6
"10697","IA",1952,3,30.5,38.8,22.2,3.2
"10698","IA",1952,4,48.8,61.1,36.4,1.8
"10699","IA",1952,5,58.6,70,47.3,3.8
"10700","IA",1952,6,73.3,85.1,61.5,5.3
"10701","IA",1952,7,73.9,85.6,62.1,3.7
"10702","IA",1952,8,69,80,57.9,4.6
"10703","IA",1952,9,63.8,78,49.5,0.8
"10704","IA",1953,1,20.6,29,12.2,0.7
"10705","IA",1953,10,56.7,71.3,42.1,0.4
"10706","IA",1953,11,39.6,51.3,27.8,1.3
"10707","IA",1953,12,26.7,36.4,17,1.3
"10708","IA",1953,2,26.3,35.3,17.2,1.6
"10709","IA",1953,3,35.5,45.2,25.8,2.9
"10710","IA",1953,4,42.8,53.2,32.4,3.1
"10711","IA",1956,9,62.2,76.8,47.6,1.5
"10712","IA",1957,1,13.1,23,3.3,0.5
"10713","IA",1957,10,48.2,58.7,37.7,2.7
"10714","IA",1957,11,33.8,41.6,26.1,2.5
"10715","IA",1957,12,29.3,38.3,20.3,1.1
"10716","IA",1957,2,28.3,37.6,19,0.3
"10717","IA",1957,3,34.3,44.8,23.8,1.8
"10718","IA",1957,4,48.3,59.4,37.1,2.5
"10719","IA",1957,5,58.2,69.1,47.2,4.9
"10720","IA",1957,6,68.1,79.3,56.9,4.7
"10721","IA",1954,3,31.1,40.8,21.4,1.7
"10722","IA",1954,4,51.5,64.1,38.9,4.3
"10723","IA",1954,5,54.8,66.9,42.6,3.8
"10724","IA",1954,6,72,82.9,61.2,6.4
"10725","IA",1954,7,76.6,88.8,64.4,1.8
"10726","IA",1954,8,71,81.5,60.5,7
"10727","IA",1954,9,65.2,77.2,53.1,2.1
"10728","IA",1955,1,19.1,27.7,10.6,0.9
"10729","IA",1955,10,51.9,64.8,39,1.4
"10730","IA",1955,11,29.1,40,18.3,0.2
"10731","IA",1955,12,18.5,28,8.9,0.4
"10732","IA",1955,2,19.3,29.3,9.3,1.3
"10733","IA",1955,3,32.5,43.9,21.1,0.9
"10734","IA",1955,4,55.2,68.1,42.2,3.5
"10735","IA",1955,5,62.7,75.7,49.7,2.7
"10736","IA",1955,6,66.3,77.9,54.7,2.9
"10737","IA",1955,7,78.9,90.4,67.4,3.4
"10738","IA",1955,8,76.1,89.7,62.4,1.8
"10739","IA",1955,9,65.4,79.5,51.3,3
"10740","IA",1956,1,17.2,26.6,7.7,0.4
"10741","IA",1956,10,57.7,71.7,43.8,1.4
"10742","IA",1956,11,35.2,44.9,25.4,2
"10743","IA",1956,12,26.4,35.5,17.2,0.5
"10744","IA",1956,2,21.4,32,10.9,0.5
"10745","IA",1956,3,32.6,43.6,21.6,0.9
"10746","IA",1956,4,45.4,58.9,31.8,1.9
"10747","IA",1956,5,61.5,74,48.9,3.2
"10748","IA",1956,6,73.8,86.8,60.8,2.6
"10749","IA",1956,7,71.9,83.9,60,4.5
"10750","IA",1956,8,72,83.5,60.5,4.4
"10751","IA",1950,11,31.3,42.5,20.1,0.5
"10752","IA",1980,4,49.3,61.7,36.8,1.4
"10753","IA",1980,5,61.2,74.4,48.1,2.8
"10754","IA",1980,6,69.6,81.5,57.7,4.7
"10755","IA",1980,7,76.7,88.8,64.6,2.5
"10756","IA",1980,8,73.3,84.3,62.4,7.8
"10757","IA",1980,9,64.3,76.7,51.9,3.1
"10758","IA",1981,1,22.8,34.2,11.4,0.1
"10759","IA",1981,10,48.9,59.7,38.1,2.5
"10760","IA",1981,11,39.7,49,30.4,2
"10761","IA",1981,12,21.6,29.7,13.4,1.1
"10762","IA",1981,2,27.1,38.2,16,1.4
"10763","IA",1981,3,39.5,52.1,26.9,0.7
"10764","IA",1981,4,54.4,66.8,42,3.4
"10765","IA",1981,5,57.8,69.8,45.9,2.5
"10766","IA",1981,6,70.2,82,58.5,5.4
"10767","IA",1981,7,73.3,83,63.5,4.9
"10768","IA",1981,8,69.6,80.1,59.1,5.1
"10769","IA",1981,9,62.7,75.2,50.2,2.5
"10770","IA",1982,1,7.3,17.5,-2.8,1.7
"10771","IA",1982,10,52,63.3,40.7,3.3
"10772","IA",1982,11,35,43.8,26.1,2.9
"10773","IA",1982,12,28.7,36.7,20.7,3.4
"10774","IA",1982,2,20.1,29.4,10.8,0.4
"10775","IA",1982,3,32.8,42,23.7,2.6
"10776","IA",1982,4,44.3,55.9,32.7,2.4
"10777","IA",1982,5,62.4,72.1,52.8,7
"10778","IA",1982,6,64.5,75.7,53.3,3.3
"10779","IA",1982,7,74.1,84.8,63.3,6.2
"10780","IA",1982,8,70,80.1,59.8,4.5
"10781","IA",1982,9,61.8,71.9,51.8,3.4
"10782","IA",1983,1,23.3,30.4,16.2,0.7
"10783","IA",1983,10,51,61.2,40.8,3.3
"10784","IA",1983,11,37.6,44.8,30.5,4.6
"10785","IA",1983,12,7.6,15.3,-0.1,1.1
"10786","IA",1983,2,28.8,36,21.6,1.2
"10787","IA",1983,3,35.9,43.5,28.4,3.2
"10788","IA",1983,4,42.6,51.5,33.7,2.9
"10789","IA",1983,5,55.9,67,44.7,4.6
"10790","IA",1983,6,69.6,80.5,58.7,5.4
"10791","IA",1983,7,77.2,88.8,65.6,2.6
"10792","IA",1983,8,78.1,90.4,65.7,2.4
"10793","IA",1983,9,64.2,76.9,51.6,4.1
"10794","IA",1984,1,17.6,26.2,8.9,0.5
"10795","IA",1984,10,52.2,62.5,42,5.2
"10796","IA",1984,11,37.4,47.7,27,2
"10797","IA",1984,12,25.7,35.6,15.8,2.1
"10798","IA",1984,2,31.5,40.3,22.8,0.9
"10799","IA",1984,3,28.3,36,20.6,1.8
"10800","IA",1984,4,46.4,55.6,37.3,5.7
"10801","IA",1984,5,56.9,68,45.8,4.7
"10802","IA",1984,6,70.5,81.3,59.8,6.6
"10803","IA",1984,7,72.2,83.9,60.4,4
"10804","IA",1984,8,73.4,86,60.8,0.9
"10805","IA",1984,9,61.1,73.6,48.5,2
"10806","IA",1985,1,14,24.2,3.8,0.6
"10807","IA",1985,10,50.6,60.9,40.4,3.1
"10808","IA",1985,11,28.5,36.3,20.8,2.2
"10809","IA",1985,12,11.4,21.8,0.9,1.2
"10810","IA",1985,2,19.6,28.6,10.6,1.1
"10811","IA",1985,3,40.1,50.4,29.8,2.6
"10812","IA",1985,4,53.6,65.3,41.8,2.3
"10813","IA",1985,5,63.2,75.5,50.9,2.8
"10814","IA",1985,6,66.5,78.6,54.4,2.9
"10815","IA",1985,7,72.7,84.9,60.5,2.8
"10816","IA",1985,8,67.9,78.9,56.9,3.8
"10817","IA",1985,9,62.7,72.3,53.2,5.3
"10818","IA",1986,1,23.2,32.6,13.8,0.2
"10819","IA",1986,10,51.3,61.5,41.2,3.7
"10820","IA",1986,11,31.3,41.1,21.6,1.1
"10821","IA",1986,12,26,33,19.1,0.8
"10822","IA",1986,2,19.8,27.5,12.1,1.2
"10823","IA",1986,3,39.9,50.7,29.1,2.1
"10824","IA",1986,4,51.9,63.8,40,4.5
"10825","IA",1986,5,60.9,71.6,50.2,5.6
"10826","IA",1986,6,71.4,82.3,60.4,4.6
"10827","IA",1986,7,75.3,85.5,65.1,5
"10828","IA",1986,8,67,77.7,56.3,3.9
"10829","IA",1986,9,64.7,74.4,55.1,6.7
"10830","IA",1987,1,24.4,33.1,15.8,0.3
"10831","IA",1987,10,46.3,58.8,33.8,0.7
"10832","IA",1987,11,41,49.6,32.4,2.6
"10833","IA",1987,12,28.1,34.6,21.5,1.8
"10834","IA",1987,2,33.8,44.9,22.7,0.2
"10835","IA",1987,3,40.4,50.6,30.2,3.1
"10836","IA",1987,4,52.9,66.5,39.4,1.9
"10837","IA",1987,5,65.3,78,52.6,3.9
"10838","IA",1987,6,73,85,60.9,2.5
"10839","IA",1987,7,76.3,87.2,65.5,5.2
"10840","IA",1987,8,69.9,80,59.8,7.6
"10841","IA",1987,9,62.8,74.4,51.2,2.5
"10842","IA",1988,1,15.6,25.7,5.6,0.7
"10843","IA",1957,7,77.1,88.4,65.9,3.6
"10844","IA",1957,8,71.9,83.3,60.6,3.7
"10845","IA",1957,9,59.9,71.5,48.3,2.7
"10846","IA",1958,1,22,29.4,14.5,0.7
"10847","IA",1958,10,53.8,67.3,40.2,0.9
"10848","IA",1958,11,38.6,50.3,26.8,1.6
"10849","IA",1958,12,19.3,29.7,8.9,0.2
"10850","IA",1958,2,15.6,26,5.2,0.4
"10851","IA",1958,3,32.7,41.2,24.3,0.5
"10852","IA",1958,4,48.3,60.4,36.3,2.2
"10853","IA",1958,5,61.5,75.2,47.8,2
"10854","IA",1958,6,65.4,76.7,54,3.8
"10855","IA",1958,7,69.6,79.8,59.4,7.1
"10856","IA",1958,8,71.9,83.8,60,2.4
"10857","IA",1958,9,63.6,75.6,51.6,3
"10858","IA",1959,1,13.2,23.3,3.2,0.7
"10859","IA",1959,10,47,57,37,2.9
"10860","IA",1959,11,27.6,37.5,17.6,1.8
"10861","IA",1959,12,31.2,38.3,24.1,1.7
"10862","IA",1959,2,19.2,29.5,9,1.3
"10863","IA",1959,3,33.9,43.5,24.4,3.2
"10864","IA",1959,4,48.1,60.2,35.9,2.8
"10865","IA",1959,5,62,72.5,51.4,7.5
"10866","IA",1959,6,70.8,82.5,59,4
"10867","IA",1959,7,71.6,83.5,59.7,2.3
"10868","IA",1959,8,75.4,85.8,65,4.9
"10869","IA",1959,9,62.7,73.6,51.8,4.3
"10870","IA",1960,1,18.9,26.6,11.2,2.1
"10871","IA",1960,10,51.5,64.2,38.8,2.1
"10872","IA",1960,11,38.2,49.5,26.9,0.9
"10873","IA",1960,12,22.3,32.1,12.6,0.6
"10874","IA",1960,2,18.7,26.8,10.5,1.1
"10875","IA",1960,3,19.6,29.4,9.9,1.5
"10876","IA",1960,4,49.8,61,38.6,3.2
"10877","IA",1960,5,58.9,70.4,47.4,5.8
"10878","IA",1960,6,66.7,77.5,55.8,4.2
"10879","IA",1960,7,71.9,83.8,60,2.8
"10880","IA",1960,8,72.3,83.3,61.3,5.3
"10881","IA",1960,9,64.4,75.7,53.1,3.5
"10882","IA",1961,1,18.4,29.4,7.6,0.2
"10883","IA",1961,10,52.9,65.3,40.5,3
"10884","IA",1961,11,35.5,44.3,26.7,2.9
"10885","IA",1961,12,18.2,26.6,9.8,1.4
"10886","IA",1961,2,27.4,37.4,17.5,1.7
"10887","IA",1961,3,35.5,43.4,27.6,4.2
"10888","IA",1961,4,42.8,53.5,32.1,1.9
"10889","IA",1961,5,56.6,68.7,44.5,2.4
"10890","IA",1961,6,68.6,80.8,56.3,3.3
"10891","IA",1961,7,71.9,83.3,60.6,5.5
"10892","IA",1961,8,71.4,83.1,59.7,3
"10893","IA",1961,9,61,71.8,50.2,7.2
"10894","IA",1962,1,12.4,22.1,2.8,0.6
"10895","IA",1962,10,53.6,64.4,42.8,2.8
"10896","IA",1962,11,38.3,48,28.5,0.5
"10897","IA",1962,12,23.1,32.7,13.6,0.3
"10898","IA",1962,2,20.2,27.8,12.5,2
"10899","IA",1962,3,27.8,36.5,19.1,1.6
"10900","IA",1962,4,46.6,58.9,34.3,1.8
"10901","IA",1962,5,65.8,77,54.6,5.5
"10902","IA",1962,6,68.3,79.3,57.2,3
"10903","IA",1962,7,70.9,81.4,60.4,6.2
"10904","IA",1962,8,70.9,82.8,59,4.1
"10905","IA",1962,9,59.8,71.8,47.7,2.1
"10906","IA",1963,1,8.2,17.1,-0.7,0.6
"10907","IA",1963,10,61.5,74.8,48.2,1
"10908","IA",1963,11,40.8,51.5,30,1.3
"10909","IA",1963,12,13.1,22.6,3.6,0.4
"10910","IA",1963,2,18.7,29.4,7.9,0.5
"10911","IA",1963,3,38.7,49.1,28.3,2.5
"10912","IA",1963,4,51.2,63.4,39,3.1
"10913","IA",1963,5,59.2,70.6,47.8,2.8
"10914","IA",1963,6,72.7,85.1,60.3,2.6
"10915","IA",1963,7,74,85.2,62.7,5.5
"10916","IA",1963,8,70.1,81.1,59.1,3.8
"10917","IA",1963,9,64.1,75.4,52.8,2.4
"10918","IA",1964,1,25.4,35.6,15.2,0.4
"10919","IA",1964,10,49.6,63.3,35.9,0.2
"10920","IA",1964,11,39.4,50,28.9,1.2
"10921","IA",1964,12,20.2,28.9,11.5,0.9
"10922","IA",1964,2,26.9,38.6,15.3,0.3
"10923","IA",1964,3,31,42,20,1.4
"10924","IA",1964,4,49.2,60.5,37.9,5.1
"10925","IA",1964,5,65,76.9,53,4
"10926","IA",1964,6,69.3,80.8,57.8,5
"10927","IA",1964,7,75.8,87.4,64.2,4
"10928","IA",1964,8,68.4,80.3,56.5,3.8
"10929","IA",1964,9,62.1,72.8,51.3,4.5
"10930","IA",1965,1,16.6,26.7,6.6,1.3
"10931","IA",1965,10,52.7,64.8,40.5,1
"10932","IA",1965,11,37.6,48.2,27,1.3
"10933","IA",1965,12,31.8,40.5,23.1,1.6
"10934","IA",1965,2,18.7,29.7,7.8,1.2
"10935","IA",1965,3,22.8,31,14.6,2.8
"10936","IA",1965,4,47.2,57.6,36.7,4.6
"10937","IA",1965,5,63.8,75.7,51.9,4.7
"10938","IA",1965,6,68.3,79.3,57.4,3.9
"10939","IA",1965,7,72.5,83.5,61.4,3.4
"10940","IA",1965,8,69.9,81.6,58.2,4.1
"10941","IA",1965,9,58.8,68.5,49,9.8
"10942","IA",1966,1,11.1,20.5,1.7,0.9
"10943","IA",1966,10,50.9,64.8,37,1.6
"10944","IA",1966,11,36.3,47,25.6,0.4
"10945","IA",1966,12,22.8,31.6,14,1
"10946","IA",1966,2,22.5,33.4,11.6,0.7
"10947","IA",1966,3,39.1,50.6,27.7,1.8
"10948","IA",1966,4,44.2,54.8,33.6,1.9
"10949","IA",1966,5,56.3,69.6,42.9,3.8
"10950","IA",1966,6,68.7,80,57.3,5.6
"10951","IA",1966,7,76,87.4,64.6,3.2
"10952","IA",1966,8,68.2,80.3,56,2.5
"10953","IA",1966,9,60.5,72.9,48.1,1.4
"10954","IA",1967,1,21.2,31.4,11.1,1.1
"10955","IA",1967,10,49.4,60.7,38.1,3.1
"10956","IA",1967,11,34,43.6,24.5,0.6
"10957","IA",1967,12,25.9,34.3,17.6,0.9
"10958","IA",1967,2,19.4,30.8,8,0.5
"10959","IA",1967,3,38.1,49.7,26.6,1.6
"10960","IA",1967,4,49.6,61,38.1,3.3
"10961","IA",1967,5,55.6,67.9,43.4,2.7
"10962","IA",1967,6,68.2,78.4,58,8.5
"10963","IA",1967,7,70.4,82.5,58.4,2.1
"10964","IA",1967,8,67.6,80,55.2,2.6
"10965","IA",1967,9,60.1,73,47.3,2.6
"10966","IA",1968,1,18.5,27.7,9.3,0.6
"10967","IA",1968,10,52.4,63.9,40.9,3.4
"10968","IA",1968,11,34.6,42.9,26.2,1.1
"10969","IA",1968,12,20.7,29,12.5,2
"10970","IA",1968,2,21.2,31.6,10.7,0.1
"10971","IA",1968,3,41.6,55.4,27.8,0.9
"10972","IA",1968,4,50.2,63,37.4,4.3
"10973","IA",1968,5,56,68.1,43.8,2.6
"10974","IA",1968,6,70.6,82.5,58.7,4.7
"10975","IA",1968,7,72.4,83.6,61.2,4.3
"10976","IA",1968,8,71.5,82.5,60.4,3.5
"10977","IA",1968,9,61.8,73.2,50.3,4.6
"10978","IA",1969,1,13.8,21.8,5.7,1.7
"10979","IA",1969,10,47.8,58.2,37.3,3.6
"10980","IA",1969,11,36.2,47,25.4,0.2
"10981","IA",1969,12,21.5,29.3,13.7,1.4
"10982","IA",1969,2,23.4,30.9,15.9,0.9
"10983","IA",1969,3,26.6,36.8,16.5,1
"10984","IA",1969,4,49.8,61.4,38.2,3.3
"10985","IA",1969,5,60.6,72.2,49.1,3.8
"10986","IA",1969,6,64.3,75.7,52.8,7.1
"10987","IA",1969,7,73.9,83.8,64,6.2
"10988","IA",1969,8,71.8,83.6,60,2.6
"10989","IA",1969,9,62.9,74.5,51.3,2.3
"10990","IA",1970,1,9.5,19,0.1,0.2
"10991","IA",1970,10,50.5,60.7,40.3,4
"10992","IA",1970,11,35.2,43.4,27,1.6
"10993","IA",1970,12,23.3,32.8,13.9,1.1
"10994","IA",1970,2,23.5,35.5,11.6,0.1
"10995","IA",1970,3,30.6,39.6,21.6,2.2
"10996","IA",1970,4,49.3,61.4,37.1,2.3
"10997","IA",1970,5,63.1,74.9,51.3,4.9
"10998","IA",1970,6,70,81.3,58.6,3.1
"10999","IA",1970,7,73.7,86,61.5,3.5
"11000","IA",1970,8,71.5,82.8,60.2,3.9
"11001","IA",1970,9,62.9,73.8,52,6.1
"11002","IA",1971,1,12.4,22,2.9,1
"11003","IA",1971,10,56.5,67.9,45.2,3.6
"11004","IA",1971,11,37.1,46,28.2,3
"11005","IA",1971,12,25.6,32.7,18.5,1.8
"11006","IA",1971,2,20.4,28.8,12.1,2.4
"11007","IA",1971,3,31.8,40.7,22.8,0.9
"11008","IA",1971,4,49.6,63,36.2,1.3
"11009","IA",1971,5,56.8,69.2,44.3,3.5
"11010","IA",1971,6,74.2,85.9,62.5,4.5
"11011","IA",1971,7,69.9,81.3,58.5,3.4
"11012","IA",1971,8,70,83,57,1.2
"11013","IA",1971,9,64.9,77.5,52.2,2.4
"11014","IA",1972,1,14.7,24.6,4.8,0.4
"11015","IA",1972,10,47.4,58.1,36.7,3.1
"11016","IA",1972,11,33.5,39.7,27.3,2.2
"11017","IA",1972,12,17,25.2,8.9,1.7
"11018","IA",1972,2,17.9,28.7,7.1,0.7
"11019","IA",1972,3,34.4,44.8,24.1,1.3
"11020","IA",1972,4,46.3,57.5,35,3.5
"11021","IA",1972,5,61,72.3,49.7,4.5
"11022","IA",1972,6,68.2,80.6,55.9,3.7
"11023","IA",1972,7,71.5,81.9,61,5.6
"11024","IA",1972,8,71.1,81.4,60.8,4.3
"11025","IA",1972,9,62.9,74,51.9,5.6
"11026","IA",1973,1,20.4,28.6,12.2,1.7
"11027","IA",1973,10,56.2,67.6,44.7,2.5
"11028","IA",1973,11,37.6,46.2,29,2.2
